Time,Match,Blue1,Blue2,Blue3,Red1,Red2,Red3
7:00 PM,P1,4674,11283,2530,7797,2503,2883
7:09 PM,P2,5653,2169,3100,4728,6045,2052
7:18 PM,P3,3297,4174,3130,4607,7028,2846
7:27 PM,P4,2220,2847,3277,2472,5913,7858
7:36 PM,P5,2239,2491,7257,5348,4778,3630
7:45 PM,P6,3082,4741,2480,3276,3926,3293
8:30 AM,Q1,4607,3293,2883,7858,2472,2052
8:39 AM,Q2,3082,2220,3276,2491,2503,5653
8:48 AM,Q3,3100,2846,3630,3130,3926,6045
8:57 AM,Q4,3277,7257,4778,2169,5913,2530
9:06 AM,Q5,2239,5348,4741,2847,4174,2480
9:14 AM,Q6,7028,11283,7797,4674,3297,4728
9:22 AM,Q7,2472,2503,3293,2052,2883,2491
9:30 AM,Q8,3926,3276,2846,3082,4607,7858
9:38 AM,Q9,3130,3630,5913,2530,5653,2220
9:46 AM,Q10,2480,2239,7257,6045,3100,3277
9:54 AM,Q11,3297,2847,5348,4728,4778,2169
10:02 AM,Q12,7797,4741,4174,2883,11283,2503
10:10 AM,Q13,2846,7028,4674,3276,2052,3293
10:18 AM,Q14,2491,4607,2472,5653,3630,3082
10:26 AM,Q15,7858,3926,3100,3277,2530,3130
10:34 AM,Q16,6045,3297,2239,5913,2220,5348
10:42 AM,Q17,7257,4728,11283,4741,2480,4778
10:50 AM,Q18,4174,2883,7028,2846,2169,2847
10:58 AM,Q19,4674,7797,2503,4607,3276,5653
11:06 AM,Q20,2491,3277,3082,2052,2530,3100
11:14 AM,Q21,3293,7858,3297,2472,6045,3630
11:22 AM,Q22,5348,4778,3926,2220,4741,11283
11:30 AM,Q23,4728,3130,2480,4174,7257,5913
11:38 AM,Q24,2239,7028,2847,7797,2846,4607
11:46 AM,Q25,2883,3100,2169,2491,4674,3276
11:54 AM,Q26,3630,2530,7858,2503,2052,3297
12:02 PM,Q27,4778,2472,5653,3926,3277,4741
12:10 PM,Q28,2220,4174,3130,3293,3082,6045
12:18 PM,Q29,11283,5913,2480,4607,7028,2846
1:30 PM,Q30,3100,7257,2491,7797,2847,2883
1:39 PM,Q31,2503,7858,4728,2169,2239,4674
1:48 PM,Q32,3276,5348,3277,3630,2052,3926
1:57 PM,Q33,4778,3297,2530,5653,3293,4174
2:06 PM,Q34,4741,3082,3130,6045,7028,5913
2:14 PM,Q35,2472,7797,2220,11283,2480,2846
2:22 PM,Q36,7858,2169,7257,3100,4728,4607
2:30 PM,Q37,2883,4674,2052,3630,3926,2239
2:38 PM,Q38,2847,2503,3276,3297,3293,3277
2:46 PM,Q39,2530,2491,7028,4174,6045,5348
2:54 PM,Q40,5913,3130,4778,2480,7797,2472
3:02 PM,Q41,3082,4674,2220,2847,7257,4741
3:10 PM,Q42,2169,11283,5348,2239,5653,4728
